Date,Index_Close,Index_return
01-01-2020,12182.5,0.001154609
02-01-2020,12282.2002,0.008183886
03-01-2020,12226.65039,-0.004522789
06-01-2020,11993.0498,-0.019105853
07-01-2020,12052.9502,0.004994592
08-01-2020,12025.34961,-0.002289944
09-01-2020,12215.90039,0.015845758
10-01-2020,12256.7998,0.003348047
13-01-2020,12329.5498,0.005935481
14-01-2020,12362.2998,0.00265622
15-01-2020,12343.2998,-0.001536931
16-01-2020,12355.5,0.000988406
17-01-2020,12352.34961,-0.000254979
20-01-2020,12224.5498,-0.010346194
21-01-2020,12169.84961,-0.004474618
22-01-2020,12106.90039,-0.005172555
23-01-2020,12180.34961,0.006066724
24-01-2020,12248.25,0.005574585
27-01-2020,12119,-0.010552528
28-01-2020,12055.7998,-0.005214968
29-01-2020,12129.5,0.006113256
30-01-2020,12035.7998,-0.007724984
31-01-2020,11962.09961,-0.006123415
03-02-2020,11707.90039,-0.021250385
04-02-2020,11979.65039,0.023210823
05-02-2020,12089.15039,0.0091405
06-02-2020,12137.9502,0.004036661
07-02-2020,12098.34961,-0.003262543
10-02-2020,12031.5,-0.005525515
11-02-2020,12107.90039,0.00635003
12-02-2020,12201.2002,0.007705696
13-02-2020,12174.65039,-0.002175999
14-02-2020,12113.4502,-0.005026854
17-02-2020,12045.7998,-0.005584733
18-02-2020,11992.5,-0.004424763
19-02-2020,12125.90039,0.011123652
20-02-2020,12080.84961,-0.003715252
24-02-2020,11829.40039,-0.020813869
25-02-2020,11797.90039,-0.002662857
26-02-2020,11678.5,-0.010120478
27-02-2020,11633.2998,-0.003870377
28-02-2020,11201.75,-0.037096079
02-03-2020,11132.75,-0.006159752
03-03-2020,11303.2998,0.015319647
04-03-2020,11251,-0.00462695
05-03-2020,11269,0.001599858
06-03-2020,10989.4502,-0.024806975
09-03-2020,10451.4502,-0.048956043
11-03-2020,10458.40039,0.000664998
12-03-2020,9590.150391,-0.083019388
13-03-2020,9955.200195,0.038065076
16-03-2020,9197.400391,-0.076121001
17-03-2020,8967.049805,-0.025045184
18-03-2020,8468.799805,-0.05556454
19-03-2020,8263.450195,-0.024247782
20-03-2020,8745.450195,0.058329147
23-03-2020,7610.25,-0.129804661
24-03-2020,7801.049805,0.025071424
25-03-2020,8317.849609,0.066247469
26-03-2020,8641.450195,0.038904356
27-03-2020,8660.25,0.002175538
30-03-2020,8281.099609,-0.043780536
31-03-2020,8597.75,0.038237723
01-04-2020,8253.799805,-0.040004675
03-04-2020,8083.799805,-0.020596574
07-04-2020,8792.200195,0.087632105
08-04-2020,8748.75,-0.004941902
09-04-2020,9111.900391,0.041508832
13-04-2020,8993.849609,-0.012955671
15-04-2020,8925.299805,-0.007621854
